"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","T;","164712;","Gadus morhua",1,"1992Q1","CHP"
"2","T;W;","161722;126417;","Clupea harengus",1,"1995Q1","DT"
"3","T;W;","164712;126436;","Gadus morhua",1,"1996Q1","DT"
"4","T;W;","172894;127141;","Platichthys flesus",1,"1996Q1","DT"
"5","W;","154473;","Psetta maxima",1,"1996Q1","DT"
"6","T;","161789;","Sprattus sprattus",1,NA,"DT"
"7","T;","161722;","Clupea harengus",1,"1996Q4","ESB"
"8","T;","161789;","Sprattus sprattus",1,NA,"ESB"
"9","W;","126417;","Clupea harengus",1,"2010Q4","EXP"
"10","T;W;","164712;126436;","Gadus morhua",3,"2010Q4","EXP"
"11","W;","127141;","Platichthys flesus",1,"2010Q1","EXP"
"12","W;","126425;","Sprattus sprattus",3,"2010Q4","EXP"
"13","T;","161722;","Clupea harengus",2,"1991Q4","FOT"
"14","T;W;","164712;126436;","Gadus morhua",10,"2000Q1","FOT"
"15","T;","161722;","Clupea harengus",1,"1992Q1","GOV"
"16","T;W;","164712;126436;","Gadus morhua",4,"2000Q4","GOV"
"17","W;","127141;","Platichthys flesus",1,"2000Q4","GOV"
"18","T;","161722;","Clupea harengus",1,"2000Q4","GRT"
"19","W;T;","126436;164712;","Gadus morhua",2,"2000Q4","GRT"
"20","T;","172894;","Platichthys flesus",1,"2000Q4","GRT"
"21","T;W;","161722;126417;","Clupea harengus",20,"2000Q4","H20"
"22","T;W;","164712;126436;","Gadus morhua",20,"2000Q4","H20"
"23","T;","172881;","Limanda limanda",1,"2000Q4","H20"
"24","T;W;","172894;127141;","Platichthys flesus",20,"2000Q4","H20"
"25","T;W;","172902;127143;","Pleuronectes platessa",10,"1998Q4","H20"
"26","T;W;","616195;154473;","Psetta maxima",10,"1998Q4","H20"
"27","W;","127150;","Scophthalmus rhombus",1,"1995Q1","H20"
"28","T;W;","161789;126425;","Sprattus sprattus",20,"2000Q4","H20"
"29","T;W;","161722;126417;","Clupea harengus",1,"2000Q1","HAK"
"30","T;W;","164712;126436;","Gadus morhua",1,"2000Q1","HAK"
"31","T;W;","172894;127141;","Platichthys flesus",1,"2000Q1","HAK"
"32","W;","154473;","Psetta maxima",1,"2000Q1","HAK"
"33","T;","161789;","Sprattus sprattus",1,"1999Q1","HAK"
"34","T;W;","164712;126436;","Gadus morhua",4,"2000Q4","LBT"
"35","T;W;","172894;127141;","Platichthys flesus",4,"2000Q4","LBT"
"36","T;","164712;","Gadus morhua",1,NA,"LPT"
"37","T;","161722;","Clupea harengus",1,"1999Q1","P20"
"38","T;W;","164712;126436;","Gadus morhua",1,"2001Q1","P20"
"39","T;","172894;","Platichthys flesus",1,"1999Q1","P20"
"40","T;","161789;","Sprattus sprattus",1,"1999Q1","P20"
"41","T;W;","164712;126436;","Gadus morhua",6,"1995Q4","SON"
"42","T;W;","172881;127139;","Limanda limanda",3,"1998Q4","SON"
"43","T;","172894;","Platichthys flesus",1,"1994Q1","SON"
"44","T;","172902;","Pleuronectes platessa",1,"1994Q1","SON"
"45","T;","616195;","Psetta maxima",1,"1997Q4","SON"
"46","T;","172749;","Scophthalmus rhombus",1,"1994Q1","SON"
"47","T;","161789;","Sprattus sprattus",2,"1991Q4","SON"
"48","W;","171982;","Acanthascus (Rhabdocalyptus) mirabilis",1,"2013Q1","TVL"
"49","W;","127190;","Agonus cataphractus",1,"2017Q4","TVL"
"50","W;","126415;","Alosa fallax",5,"2017Q1","TVL"
"51","W;","126752;","Ammodytes tobianus",2,"2014Q1","TVL"
"52","W;","126806;","Caranx rhonchus",1,"2015Q1","TVL"
"53","T;W;","161722;126417;","Clupea harengus",37,"2018Q4","TVL"
"54","W;","127214;","Cyclopterus lumpus",11,"2018Q1","TVL"
"55","W;","126450;","Enchelyopus cimbrius",12,"2018Q4","TVL"
"56","W;","126426;","Engraulis encrasicolus",6,"2017Q1","TVL"
"57","T;W;","164712;126436;","Gadus morhua",40,"2018Q4","TVL"
"58","W;","126505;","Gasterosteus aculeatus",1,"2016Q1","TVL"
"59","W;","126755;","Hyperoplus immaculatus",8,"2016Q4","TVL"
"60","W;","127139;","Limanda limanda",8,"2018Q4","TVL"
"61","W;","127219;","Liparis liparis",1,"2013Q1","TVL"
"62","W;","126437;","Melanogrammus aeglefinus",1,"2015Q1","TVL"
"63","W;","126438;","Merlangius merlangus",14,"2018Q1","TVL"
"64","W;","126484;","Merluccius merluccius",1,"2012Q1","TVL"
"65","W;","127203;","Myoxocephalus scorpius",12,"2018Q4","TVL"
"66","W;","126916;","Neogobius melanostomus",3,"2016Q4","TVL"
"67","W;","126736;","Osmerus eperlanus",8,"2016Q4","TVL"
"68","W;","151353;","Perca fluviatilis",1,"2018Q1","TVL"
"69","T;W;","172894;127141;","Platichthys flesus",34,"2018Q4","TVL"
"70","T;W;","172902;127143;","Pleuronectes platessa",20,"2018Q4","TVL"
"71","W;","126441;","Pollachius virens",2,"2014Q4","TVL"
"72","W;","126927;","Pomatoschistus microps",2,"2014Q1","TVL"
"73","W;","126928;","Pomatoschistus minutus",3,"2016Q4","TVL"
"74","T;W;","616195;154473;","Psetta maxima",3,"2011Q1","TVL"
"75","W;","127186;","Salmo salar",1,"2013Q1","TVL"
"76","W;","127187;","Salmo trutta",1,"2009Q4","TVL"
"77","W;","151308;","Sander lucioperca",4,"2018Q1","TVL"
"78","W;","127023;","Scomber scombrus",1,"2018Q1","TVL"
"79","W;","127149;","Scophthalmus maximus",16,"2018Q4","TVL"
"80","W;","127160;","Solea solea",1,"2017Q4","TVL"
"81","T;W;","161789;126425;","Sprattus sprattus",35,"2018Q4","TVL"
"82","W;","126822;","Trachurus trachurus",2,"2017Q1","TVL"
"83","W;","126446;","Trisopterus minutus",1,"2018Q1","TVL"
"84","W;","127123;","Zoarces viviparus",4,"2016Q1","TVL"
"85","T;W;","161722;126417;","Clupea harengus",4,"2006Q4","TVS"
"86","W;","127214;","Cyclopterus lumpus",1,"2012Q1","TVS"
