"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","126178;","Chelidonichthys",5,"2018Q3","BT4A"
"2","W;","126285;","Conger conger",2,"2018Q3","BT4A"
"3","W;","126029;","Dicentrarchus",1,"1995Q3","BT4A"
"4","W;","126975;","Dicentrarchus labrax",6,"2018Q3","BT4A"
"5","W;","150636;","Eutrigla",5,"2018Q3","BT4A"
"6","W;","126436;","Gadus morhua",12,"2015Q3","BT4A"
"7","W;","105820;","Galeorhinus galeus",1,"2016Q3","BT4A"
"8","T;W;","172881;127139;","Limanda limanda",7,"1996Q3","BT4A"
"9","W;","126555;","Lophius piscatorius",5,"2017Q3","BT4A"
"10","W;","126438;","Merlangius merlangus",9,"2018Q3","BT4A"
"11","W;","127140;","Microstomus kitt",5,"2018Q3","BT4A"
"12","W;","126461;","Molva molva",1,"2017Q3","BT4A"
"13","W;","126986;","Mullus surmuletus",2,"2018Q3","BT4A"
"14","W;","105821;","Mustelus asterias",5,"2018Q3","BT4A"
"15","W;T;","127141;172894;","Platichthys flesus",5,"2018Q3","BT4A"
"16","T;W;","172902;127143;","Pleuronectes platessa",29,"2018Q3","BT4A"
"17","W;","154473;","Psetta maxima",1,"2002Q3","BT4A"
"18","W;","367297;","Raja brachyura",5,"2018Q3","BT4A"
"19","W;","105883;","Raja clavata",5,"2018Q3","BT4A"
"20","W;","105885;","Raja microocellata",5,"2018Q3","BT4A"
"21","W;","105887;","Raja montagui",5,"2018Q3","BT4A"
"22","W;","105891;","Raja undulata",5,"2018Q3","BT4A"
"23","W;","127149;","Scophthalmus maximus",15,"2018Q3","BT4A"
"24","T;W;","172749;127150;","Scophthalmus rhombus",15,"2018Q3","BT4A"
"25","W;","105814;","Scyliorhinus canicula",1,"2015Q3","BT4A"
"26","W;","127160;","Solea solea",22,"2018Q3","BT4A"
"27","T;","173001;","Solea vulgaris",4,"1993Q3","BT4A"
"28","W;","127066;","Spondyliosoma cantharus",1,"2018Q3","BT4A"
"29","W;","126180;","Trigla",5,"2018Q3","BT4A"
"30","W;","154461;","Trigloporus",5,"2018Q3","BT4A"
"31","W;","127427;","Zeus faber",5,"2018Q3","BT4A"
"32","W;","150662;","Aspitrigla cuculus",1,"2018Q3","BT4AI"
"33","W;","126178;","Chelidonichthys",4,"2017Q3","BT4AI"
"34","W;","127262;","Chelidonichthys lucerna",1,"2018Q3","BT4AI"
"35","W;","126285;","Conger conger",3,"2018Q3","BT4AI"
"36","W;","126975;","Dicentrarchus labrax",7,"2018Q3","BT4AI"
"37","W;","150629;","Echiichthys",1,"2014Q3","BT4AI"
"38","W;","150636;","Eutrigla",4,"2017Q3","BT4AI"
"39","W;","150637;","Eutrigla gurnardus",1,"2018Q3","BT4AI"
"40","T;W;","164712;126436;","Gadus morhua",20,"2018Q3","BT4AI"
"41","W;","105820;","Galeorhinus galeus",1,"2018Q3","BT4AI"
"42","T;W;","172835;127146;","Lepidorhombus whiffiagonis",16,"2016Q3","BT4AI"
"43","W;","105876;","Leucoraja naevus",5,"2018Q3","BT4AI"
"44","W;","127139;","Limanda limanda",7,"2018Q3","BT4AI"
"45","W;","126554;","Lophius budegassa",3,"2015Q3","BT4AI"
"46","W;","126555;","Lophius piscatorius",13,"2018Q3","BT4AI"
"47","W;","126437;","Melanogrammus aeglefinus",13,"2018Q3","BT4AI"
"48","T;W;","164758;126438;","Merlangius merlangus",26,"2018Q3","BT4AI"
"49","W;","126484;","Merluccius merluccius",14,"2018Q3","BT4AI"
"50","W;","127140;","Microstomus kitt",10,"2018Q3","BT4AI"
"51","W;","126461;","Molva molva",2,"2017Q3","BT4AI"
"52","W;","126986;","Mullus surmuletus",5,"2018Q3","BT4AI"
"53","W;","105821;","Mustelus asterias",3,"2018Q3","BT4AI"
"54","W;","140712;","Pecten maximus",4,"2018Q3","BT4AI"
"55","T;W;","172902;127143;","Pleuronectes platessa",26,"2018Q3","BT4AI"
"56","W;","154473;","Psetta maxima",1,"2001Q3","BT4AI"
"57","W;","367297;","Raja brachyura",5,"2018Q3","BT4AI"
"58","W;","105883;","Raja clavata",5,"2018Q3","BT4AI"
"59","W;","105885;","Raja microocellata",5,"2018Q3","BT4AI"
"60","W;","105887;","Raja montagui",5,"2018Q3","BT4AI"
"61","W;","105891;","Raja undulata",1,"2015Q3","BT4AI"
"62","W;","127149;","Scophthalmus maximus",7,"2018Q3","BT4AI"
"63","W;","127150;","Scophthalmus rhombus",7,"2018Q3","BT4AI"
"64","W;","105815;","Scyliorhinus stellaris",3,"2018Q3","BT4AI"
"65","W;","127160;","Solea solea",22,"2018Q3","BT4AI"
"66","T;","173001;","Solea vulgaris",1,"1996Q3","BT4AI"
"67","W;","127066;","Spondyliosoma cantharus",1,"2018Q3","BT4AI"
"68","W;","271684;","Torpedo marmorata",1,"2018Q3","BT4AI"
"69","W;","126180;","Trigla",4,"2017Q3","BT4AI"
"70","W;","154461;","Trigloporus",3,"2017Q3","BT4AI"
"71","W;","127427;","Zeus faber",5,"2018Q3","BT4AI"
"72","W;","126436;","Gadus morhua",1,NA,"BT4P"
"73","W;","126554;","Lophius budegassa",1,NA,"BT4P"
"74","W;","126555;","Lophius piscatorius",1,NA,"BT4P"
"75","W;","127140;","Microstomus kitt",1,NA,"BT4P"
"76","W;","127143;","Pleuronectes platessa",1,NA,"BT4P"
"77","W;","127160;","Solea solea",1,NA,"BT4P"
"78","W;","126436;","Gadus morhua",2,"2016Q3","BT4S"
"79","W;","126555;","Lophius piscatorius",1,NA,"BT4S"
"80","W;","127140;","Microstomus kitt",1,NA,"BT4S"
"81","W;","127143;","Pleuronectes platessa",2,"2016Q3","BT4S"
"82","W;","127149;","Scophthalmus maximus",2,"2016Q3","BT4S"
"83","W;","127150;","Scophthalmus rhombus",2,"2016Q3","BT4S"
"84","W;","127160;","Solea solea",2,"2016Q3","BT4S"
"85","W;","127126;","Arnoglossus laterna",1,"1997Q3","BT7"
"86","W;","126436;","Gadus morhua",1,"1998Q3","BT7"
"87","W;","127139;","Limanda limanda",12,"2018Q3","BT7"
"88","W;","127143;","Pleuronectes platessa",12,"2018Q3","BT7"
"89","W;","127149;","Scophthalmus maximus",4,"2011Q3","BT7"
"90","W;","127160;","Solea solea",8,"2018Q3","BT7"
"91","W;","127190;","Agonus cataphractus",1,"1997Q3","BT8"
"92","W;","127126;","Arnoglossus laterna",11,"2012Q3","BT8"
"93","W;","127153;","Buglossidium luteum",8,"2009Q3","BT8"
"94","W;","107276;","Cancer pagurus",1,"2004Q3","BT8"
"95","W;","150630;","Echiichthys vipera",1,"2004Q3","BT8"
"96","T;W;","164712;126436;","Gadus morhua",23,"2018Q3","BT8"
"97","W;","127136;","Glyptocephalus cynoglossus",4,"2006Q3","BT8"
