"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","127139;","Limanda limanda",1,"2018Q3","BT3"
"2","W;","127141;","Platichthys flesus",1,"2018Q3","BT3"
"3","W;","127143;","Pleuronectes platessa",1,"2018Q3","BT3"
"4","W;","127149;","Scophthalmus maximus",1,"2018Q3","BT3"
"5","W;","127150;","Scophthalmus rhombus",1,"2018Q3","BT3"
"6","W;","127160;","Solea solea",1,"2018Q3","BT3"
"7","W;","126751;","Ammodytes marinus",1,"2015Q4","BT6"
"8","W;","126752;","Ammodytes tobianus",1,"2016Q4","BT6"
"9","W;","127126;","Arnoglossus laterna",1,"2015Q4","BT6"
"10","W;","127153;","Buglossidium luteum",1,"2015Q4","BT6"
"11","W;","126792;","Callionymus lyra",1,"2016Q4","BT6"
"12","W;","150630;","Echiichthys vipera",1,"2015Q4","BT6"
"13","W;","127139;","Limanda limanda",11,"2016Q4","BT6"
"14","W;","126438;","Merlangius merlangus",1,"2016Q4","BT6"
"15","W;","127141;","Platichthys flesus",11,"2016Q4","BT6"
"16","W;","127143;","Pleuronectes platessa",11,"2016Q4","BT6"
"17","W;","126925;","Pomatoschistus lozanoi",1,"2015Q4","BT6"
"18","W;","126928;","Pomatoschistus minutus",1,"2015Q4","BT6"
"19","W;","127149;","Scophthalmus maximus",9,"2015Q4","BT6"
"20","W;","127150;","Scophthalmus rhombus",9,"2015Q4","BT6"
"21","W;","127160;","Solea solea",11,"2016Q4","BT6"
