"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","127259;","Chelidonichthys cuculus",11,"2018Q4","GOV"
"2","W;","127262;","Chelidonichthys lucerna",1,"2015Q4","GOV"
"3","W;","126975;","Dicentrarchus labrax",5,"2018Q4","GOV"
"4","W;","126426;","Engraulis encrasicolus",3,"2016Q4","GOV"
"5","W;","126436;","Gadus morhua",20,"2016Q4","GOV"
"6","W;","127136;","Glyptocephalus cynoglossus",3,"2016Q4","GOV"
"7","W;","140621;","Illex coindetii",1,"2018Q4","GOV"
"8","W;","127146;","Lepidorhombus whiffiagonis",22,"2018Q4","GOV"
"9","W;","126554;","Lophius budegassa",10,"2006Q4","GOV"
"10","W;","126555;","Lophius piscatorius",10,"2006Q4","GOV"
"11","W;","126437;","Melanogrammus aeglefinus",16,"2016Q4","GOV"
"12","W;","126438;","Merlangius merlangus",22,"2018Q4","GOV"
"13","W;","126484;","Merluccius merluccius",8,"2007Q4","GOV"
"14","W;","126439;","Micromesistius poutassou",1,"2018Q4","GOV"
"15","W;","127140;","Microstomus kitt",5,"2018Q4","GOV"
"16","W;","126461;","Molva molva",1,"2018Q4","GOV"
"17","W;","126986;","Mullus surmuletus",8,"2018Q4","GOV"
"18","W;","126501;","Phycis blennoides",4,"2018Q4","GOV"
"19","W;","127143;","Pleuronectes platessa",3,"2016Q4","GOV"
"20","W;","126440;","Pollachius pollachius",2,"2016Q4","GOV"
"21","W;","126421;","Sardina pilcharsdus",1,"2018Q4","GOV"
"22","W;","127023;","Scomber scombrus",1,"2018Q4","GOV"
"23","W;","127149;","Scophthalmus maximus",3,"2016Q4","GOV"
"24","W;","127150;","Scophthalmus rhombus",3,"2016Q4","GOV"
"25","W;","127160;","Solea solea",9,"2018Q4","GOV"
"26","W;","126445;","Trisopterus luscus",1,"2018Q4","GOV"
"27","W;","126446;","Trisopterus minutus",1,"2018Q4","GOV"
