"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","127259;","Chelidonichthys cuculus",5,"2018Q4","GOV"
"2","W;","127262;","Chelidonichthys lucerna",1,"2009Q4","GOV"
"3","W;","105851;","Dasyatis pastinaca",1,"2015Q4","GOV"
"4","W;","126975;","Dicentrarchus labrax",10,"2018Q4","GOV"
"5","W;","126436;","Gadus morhua",13,"2018Q4","GOV"
"6","W;","105820;","Galeorhinus galeus",1,"2015Q4","GOV"
"7","W;","126555;","Lophius piscatorius",1,"2017Q4","GOV"
"8","W;","126437;","Melanogrammus aeglefinus",1,"2012Q4","GOV"
"9","W;","126438;","Merlangius merlangus",8,"2018Q4","GOV"
"10","W;","127140;","Microstomus kitt",2,"2015Q4","GOV"
"11","W;","126461;","Molva molva",1,"2016Q4","GOV"
"12","W;","126986;","Mullus surmuletus",13,"2018Q4","GOV"
"13","W;","105821;","Mustelus asterias",1,"2015Q4","GOV"
"14","W;","127143;","Pleuronectes platessa",11,"2018Q4","GOV"
"15","W;","126440;","Pollachius pollachius",2,"2015Q4","GOV"
"16","W;","367297;","Raja brachyura",1,"2015Q4","GOV"
"17","W;","105883;","Raja clavata",1,"2015Q4","GOV"
"18","W;","105885;","Raja microocellata",1,"2015Q4","GOV"
"19","W;","105887;","Raja montagui",1,"2015Q4","GOV"
"20","W;","105891;","Raja undulata",1,"2015Q4","GOV"
"21","W;","127149;","Scophthalmus maximus",5,"2018Q4","GOV"
"22","W;","127150;","Scophthalmus rhombus",4,"2017Q4","GOV"
"23","W;","105815;","Scyliorhinus stellaris",1,"2015Q4","GOV"
"24","W;","127160;","Solea solea",5,"2018Q4","GOV"
"25","W;","126822;","Trachurus trachurus",2,"2009Q4","GOV"
"26","W;","126445;","Trisopterus luscus",5,"2018Q4","GOV"
