"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","126413;","Alosa alosa",1,"2008Q4","GOV"
"2","W;","126715;","Argentina silus",1,"2014Q4","GOV"
"3","W;","126716;","Argentina sphyraena",1,"2014Q4","GOV"
"4","W;","127259;","Chelidonichthys cuculus",3,"2013Q4","GOV"
"5","W;","712407;","Chimaera opalescens",1,"2013Q4","GOV"
"6","W;","126417;","Clupea harengus",16,"2018Q4","GOV"
"7","W;","126285;","Conger conger",9,"2018Q4","GOV"
"8","W;","126975;","Dicentrarchus labrax",11,"2018Q4","GOV"
"9","W;","711847;","Dipturus flossada",6,"2018Q4","GOV"
"10","W;","711846;","Dipturus intermedius",6,"2018Q4","GOV"
"11","W;","150637;","Eutrigla gurnardus",2,"2017Q4","GOV"
"12","W;","126435;","Gadiculus argenteus",1,"2014Q4","GOV"
"13","W;","126436;","Gadus morhua",16,"2018Q4","GOV"
"14","W;","105820;","Galeorhinus galeus",1,"2013Q4","GOV"
"15","W;","127136;","Glyptocephalus cynoglossus",8,"2018Q4","GOV"
"16","W;","105833;","Hexanchus griseus",1,"2013Q4","GOV"
"17","W;","127146;","Lepidorhombus whiffiagonis",16,"2018Q4","GOV"
"18","W;","105876;","Leucoraja naevus",16,"2018Q4","GOV"
"19","W;","127139;","Limanda limanda",1,"2014Q4","GOV"
"20","W;","126554;","Lophius budegassa",16,"2018Q4","GOV"
"21","W;","126555;","Lophius piscatorius",16,"2018Q4","GOV"
"22","W;","126437;","Melanogrammus aeglefinus",16,"2018Q4","GOV"
"23","W;","126438;","Merlangius merlangus",16,"2018Q4","GOV"
"24","W;","126484;","Merluccius merluccius",16,"2018Q4","GOV"
"25","W;","126439;","Micromesistius poutassou",16,"2018Q4","GOV"
"26","W;","127140;","Microstomus kitt",16,"2018Q4","GOV"
"27","W;","126461;","Molva molva",16,"2018Q4","GOV"
"28","W;","105821;","Mustelus asterias",1,"2017Q4","GOV"
"29","W;","127143;","Pleuronectes platessa",16,"2018Q4","GOV"
"30","W;","126440;","Pollachius pollachius",9,"2018Q4","GOV"
"31","W;","126441;","Pollachius virens",16,"2018Q4","GOV"
"32","W;","154473;","Psetta maxima",10,"2018Q4","GOV"
"33","W;","367297;","Raja brachyura",16,"2018Q4","GOV"
"34","W;","105883;","Raja clavata",16,"2018Q4","GOV"
"35","W;","105887;","Raja montagui",16,"2018Q4","GOV"
"36","W;","127023;","Scomber scombrus",16,"2018Q4","GOV"
"37","W;","127150;","Scophthalmus rhombus",10,"2018Q4","GOV"
"38","W;","127160;","Solea solea",16,"2018Q4","GOV"
"39","W;","105923;","Squalus acanthias",9,"2018Q4","GOV"
"40","W;","126822;","Trachurus trachurus",16,"2018Q4","GOV"
"41","W;","126444;","Trisopterus esmarkii",1,"2014Q4","GOV"
"42","W;","126446;","Trisopterus minutus",1,"2014Q4","GOV"
"43","W;","127427;","Zeus faber",9,"2018Q4","GOV"
