"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","T;","171341;","Anarhichas lupus",1,"1994Q3","ABD"
"2","T;","164740;","Brosme brosme",1,"1993Q3","ABD"
"3","T;","161722;","Clupea harengus",1,"1997Q3","ABD"
"4","T;","164772;","Gadiculus argenteus",1,"1994Q3","ABD"
"5","T;","164712;","Gadus morhua",1,"1997Q3","ABD"
"6","T;","164501;","Lophius piscatorius",1,"1993Q3","ABD"
"7","T;","164744;","Melanogrammus aeglefinus",1,"1997Q3","ABD"
"8","T;","164758;","Merlangius merlangus",1,"1997Q3","ABD"
"9","T;","164795;","Merluccius merluccius",1,"1993Q3","ABD"
"10","T;","164760;","Molva molva",1,"1994Q3","ABD"
"11","T;","164728;","Pollachius pollachius",1,"1993Q3","ABD"
"12","T;","164727;","Pollachius virens",1,"1997Q3","ABD"
"13","T;","172414;","Scomber scombrus",1,"1997Q3","ABD"
"14","T;","161789;","Sprattus sprattus",1,"1997Q3","ABD"
"15","T;","164756;","Trisopterus esmarkii",1,"1997Q3","ABD"
"16","T;","164755;","Trisopterus luscus",1,"1994Q3","ABD"
"17","T;","164754;","Trisopterus minutus",1,"1995Q3","ABD"
"18","T;","161722;","Clupea harengus",1,NA,"BOT"
"19","T;","161789;","Sprattus sprattus",1,NA,"BOT"
"20","T;","161722;","Clupea harengus",2,"1991Q3","DHT"
"21","T;","164712;","Gadus morhua",2,"1991Q3","DHT"
"22","T;","164744;","Melanogrammus aeglefinus",2,"1991Q3","DHT"
"23","T;","164758;","Merlangius merlangus",2,"1991Q3","DHT"
"24","T;","164727;","Pollachius virens",2,"1991Q3","DHT"
"25","T;","172414;","Scomber scombrus",2,"1991Q3","DHT"
"26","T;","161789;","Sprattus sprattus",2,"1991Q3","DHT"
"27","T;","164756;","Trisopterus esmarkii",1,NA,"DHT"
"28","T;","161722;","Clupea harengus",1,NA,"FOT"
"29","T;","161789;","Sprattus sprattus",1,NA,"FOT"
"30","W;","127190;","Agonus cataphractus",9,"2008Q1","GOV"
"31","W;","153131;","Alloteuthis subulata",1,"2018Q1","GOV"
"32","W;","126413;","Alosa alosa",1,"2012Q3","GOV"
"33","W;","126415;","Alosa fallax",1,"2017Q1","GOV"
"34","W;","105865;","Amblyraja radiata",15,"2018Q3","GOV"
"35","T;W;","171671;125909;","Ammodytes",1,"2017Q3","GOV"
"36","W;","126751;","Ammodytes marinus",6,"2018Q3","GOV"
"37","W;","126752;","Ammodytes tobianus",1,"2017Q1","GOV"
"38","T;W;","171670;125516;","Ammodytidae",1,"2007Q1","GOV"
"39","T;","172873;","Ampharana antarctica",4,"2011Q1","GOV"
"40","T;W;","171341;126758;","Anarhichas lupus",12,"2009Q3","GOV"
"41","W;","126759;","Anarhichas minor",1,"2007Q3","GOV"
"42","W;","126281;","Anguilla anguilla",1,"2010Q3","GOV"
"43","W;","126868;","Aphia minuta",1,"2017Q3","GOV"
"44","W;","126352;","Arctozenus risso",1,"2004Q3","GOV"
"45","W;","125885;","Argentina",2,"2016Q3","GOV"
"46","W;","126715;","Argentina silus",7,"2018Q3","GOV"
"47","W;","126716;","Argentina sphyraena",11,"2009Q1","GOV"
"48","W;","125508;","Argentinidae",1,"2009Q3","GOV"
"49","W;","127126;","Arnoglossus laterna",2,"2009Q3","GOV"
"50","W;","126375;","Belone belone",1,"2013Q3","GOV"
"51","W;","126783;","Brama brama",1,"2011Q1","GOV"
"52","T;W;","164740;126447;","Brosme brosme",12,"2009Q3","GOV"
"53","W;","127153;","Buglossidium luteum",3,"2016Q1","GOV"
"54","W;","126792;","Callionymus lyra",10,"2008Q3","GOV"
"55","W;","126793;","Callionymus maculatus",9,"2008Q1","GOV"
"56","W;","126795;","Callionymus reticulatus",2,"2009Q3","GOV"
"57","W;","107275;","Cancer bellianus",1,"2018Q3","GOV"
"58","W;","107276;","Cancer pagurus",10,"2018Q3","GOV"
"59","W;","127419;","Capros aper",6,"2018Q3","GOV"
"60","W;","126178;","Chelidonichthys",1,"2018Q3","GOV"
"61","W;","127259;","Chelidonichthys cuculus",4,"2018Q3","GOV"
"62","W;","127262;","Chelidonichthys lucerna",1,"2013Q1","GOV"
"63","W;","274877;","Chelidonichthys lucernus",1,"2018Q1","GOV"
"64","W;","126977;","Chelon labrosus",1,"2010Q3","GOV"
"65","W;","105824;","Chimaera monstrosa",1,"2010Q3","GOV"
