"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","126417;","Clupea harengus",16,"2018Q4","GOV"
"2","W;","711847;","Dipturus flossada",4,"2018Q4","GOV"
"3","W;","711846;","Dipturus intermedius",4,"2018Q4","GOV"
"4","W;","126436;","Gadus morhua",16,"2018Q4","GOV"
"5","W;","126456;","Gaidropsarus macrophthalmus",1,NA,"GOV"
"6","W;","105820;","Galeorhinus galeus",4,"2018Q4","GOV"
"7","W;","127136;","Glyptocephalus cynoglossus",2,"2017Q4","GOV"
"8","W;","151501;","Labrus mixtus",1,NA,"GOV"
"9","W;","105874;","Leucoraja fullonica",1,"2017Q4","GOV"
"10","W;","105876;","Leucoraja naevus",4,"2018Q4","GOV"
"11","W;","127219;","Liparis liparis",1,"2018Q4","GOV"
"12","W;","126555;","Lophius piscatorius",1,"2018Q4","GOV"
"13","W;","126437;","Melanogrammus aeglefinus",16,"2018Q4","GOV"
"14","W;","126438;","Merlangius merlangus",16,"2018Q4","GOV"
"15","W;","126484;","Merluccius merluccius",4,"2018Q4","GOV"
"16","W;","126461;","Molva molva",4,"2018Q4","GOV"
"17","W;","105821;","Mustelus asterias",4,"2018Q4","GOV"
"18","W;","105822;","Mustelus mustelus",1,"2014Q4","GOV"
"19","W;","127143;","Pleuronectes platessa",4,"2018Q4","GOV"
"20","W;","126440;","Pollachius pollachius",1,"2018Q1","GOV"
"21","W;","126441;","Pollachius virens",16,"2018Q4","GOV"
"22","W;","367297;","Raja brachyura",4,"2018Q4","GOV"
"23","W;","105883;","Raja clavata",4,"2018Q4","GOV"
"24","W;","105887;","Raja montagui",4,"2018Q4","GOV"
"25","W;","127023;","Scomber scombrus",16,"2018Q4","GOV"
"26","W;","127149;","Scophthalmus maximus",4,"2018Q4","GOV"
"27","W;","127150;","Scophthalmus rhombus",2,"2018Q4","GOV"
"28","W;","126425;","Sprattus sprattus",16,"2018Q4","GOV"
"29","W;","105923;","Squalus acanthias",1,"2018Q1","GOV"
"30","W;","154462;","Trigloporus lastoviza",1,NA,"GOV"
"31","W;","126444;","Trisopterus esmarkii",16,"2018Q4","GOV"
"32","W;","127427;","Zeus faber",1,"2018Q4","GOV"
