"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","126285;","Conger conger",10,"2018Q4","BAK"
"2","W;","127251;","Helicolenus dactylopterus",10,"2018Q4","BAK"
"3","W;","127145;","Lepidorhombus boscii",17,"2018Q4","BAK"
"4","W;","127146;","Lepidorhombus whiffiagonis",17,"2018Q4","BAK"
"5","W;","126554;","Lophius budegassa",15,"2016Q4","BAK"
"6","W;","126555;","Lophius piscatorius",15,"2016Q4","BAK"
"7","W;","126484;","Merluccius merluccius",16,"2016Q4","BAK"
"8","W;","126439;","Micromesistius poutassou",8,"2016Q4","BAK"
"9","W;","126501;","Phycis blennoides",8,"2018Q4","BAK"
"10","W;","127023;","Scomber scombrus",18,"2018Q4","BAK"
"11","W;","126822;","Trachurus trachurus",17,"2018Q4","BAK"
"12","W;","126445;","Trisopterus luscus",8,"2016Q4","BAK"
"13","W;","127427;","Zeus faber",3,"2016Q4","BAK"
