"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"1","W;","126285;","Conger conger",10,"2018Q3","PORB"
"2","W;","127136;","Glyptocephalus cynoglossus",2,"2010Q3","PORB"
"3","W;","127251;","Helicolenus dactylopterus",10,"2018Q3","PORB"
"4","W;","127145;","Lepidorhombus boscii",4,"2018Q3","PORB"
"5","W;","127146;","Lepidorhombus whiffiagonis",5,"2013Q3","PORB"
"6","W;","126554;","Lophius budegassa",13,"2013Q3","PORB"
"7","W;","126555;","Lophius piscatorius",13,"2013Q3","PORB"
"8","W;","126484;","Merluccius merluccius",13,"2013Q3","PORB"
"9","W;","126459;","Molva dypterygia",1,"2010Q3","PORB"
"10","W;","126460;","Molva macrophthalma",2,"2010Q3","PORB"
"11","W;","126461;","Molva molva",10,"2018Q3","PORB"
"12","W;","107254;","Nephrops norvegicus",9,"2011Q3","PORB"
"13","W;","126501;","Phycis blennoides",8,"2018Q3","PORB"
"14","W;","127023;","Scomber scombrus",4,"2012Q3","PORB"
